term_str,n,pos_max,pos_group,df,dfidf
the,126415,DT,DT,574,0.0
of,67371,IN,IN,574,0.0
and,58699,CC,CC,574,0.0
to,44406,TO,TO,574,0.0
a,41252,DT,DT,574,0.0
in,29005,IN,IN,574,0.0
was,22877,VBD,VB,573,1.441437607462605
i,22786,PRP,PR,540,47.56931799742267
that,21564,IN,IN,573,1.441437607462605
it,20536,PRP,PR,573,1.441437607462605
he,18123,PRP,PR,558,22.758373084347166
his,13829,PRP$,PR,560,19.949389449203885
with,13300,IN,IN,573,1.441437607462605
had,13286,VBD,VB,570,5.750626045442772
as,11959,IN,IN,572,2.880357421254715
at,11933,IN,IN,572,2.880357421254715
for,11542,IN,IN,572,2.880357421254715
is,10672,VBZ,VB,556,25.5570147974123
not,10448,RB,RB,569,7.181966006021285
but,10238,CC,CC,573,1.441437607462605
on,10101,IN,IN,571,4.316755039634543
be,9498,VB,VB,565,12.881926195822881
this,9237,DT,DT,570,5.750626045442772
they,8730,PRP,PR,539,48.92258505459521
by,8718,IN,IN,571,4.316755039634543
you,8670,PRP,PR,507,90.78594976388008
my,8519,PRP$,PR,498,102.04268731458816
we,8380,PRP,PR,517,78.00829793850932
which,8359,WDT,WD,554,28.34527738708076
were,7819,VBD,VB,565,12.881926195822881
have,7581,VB,VB,563,15.716603617243022
all,7396,DT,DT,569,7.181966006021285
from,7334,IN,IN,571,4.316755039634543
said,6451,VBD,VB,521,72.81879685093051
an,6242,DT,DT,562,17.130100827576022
no,5916,DT,DT,560,19.949389449203885
one,5799,CD,CD,567,10.037034982871278
there,5758,EX,EX,559,21.355171692366266
him,5680,PRP,PR,528,63.63076226349977
would,5257,MD,MD,546,39.39378302268613
me,5144,PRP,PR,466,140.13588442197593
so,5123,RB,RB,559,21.355171692366266
their,5096,PRP$,PR,514,81.8711420256502
or,5054,CC,CC,550,33.89051504501626
its,5032,PRP$,PR,545,40.763006321212465
are,4751,VBP,VB,514,81.8711420256502
then,4740,RB,RB,547,38.021917424072825
been,4514,VBN,VB,550,33.89051504501626
what,4423,WP,WP,540,47.56931799742267
will,4205,MD,MD,475,129.73353114225432
them,4106,PRP,PR,528,63.63076226349977
could,4061,MD,MD,542,44.854773844424464
up,3904,RP,RP,541,46.21337928124012
our,3889,PRP$,PR,442,166.63593033964128
some,3876,DT,DT,545,40.763006321212465
more,3831,RBR,RB,532,58.320229304833056
if,3808,IN,IN,538,50.27317549605624
into,3778,IN,IN,545,40.763006321212465
out,3739,RP,RP,534,55.64867132366346
about,3612,IN,IN,539,48.92258505459521
these,3601,DT,DT,527,64.95157744527532
very,3369,RB,RB,532,58.320229304833056
now,3356,RB,RB,531,59.65194308778462
time,3266,NN,NN,529,62.30721470311918
upon,3237,IN,IN,482,121.47247859484003
her,3177,PRP$,PR,315,272.6951561108488
little,3156,JJ,JJ,502,97.0684131079078
who,3153,WP,WP,522,71.5144855152293
us,3064,PRP,PR,444,164.49803078455827
like,3062,IN,IN,509,88.25300602539618
man,3059,NN,NN,455,152.50880717328127
when,3015,WRB,WR,536,52.96630661280258
do,2913,VB,VB,505,93.30751126344795
only,2808,RB,RB,519,75.41910692694188
two,2627,CD,CD,526,66.26965506366068
than,2556,IN,IN,516,79.29871036625576
she,2555,PRP,PR,264,295.81538113174986
must,2499,MD,MD,483,120.28030560667874
over,2460,IN,IN,482,121.47247859484003
any,2437,DT,DT,486,116.68588961197479
did,2379,VBD,VB,517,78.00829793850932
after,2353,IN,IN,542,44.854773844424464
made,2304,VBD,VB,513,83.15315037820915
great,2283,JJ,JJ,466,140.13588442197593
first,2230,JJ,JJ,504,94.56400960058872
came,2202,VBD,VB,428,181.23229443750353
still,2200,RB,RB,500,99.56132100680031
down,2196,RP,RP,460,146.93176283640372
has,2161,VBZ,VB,436,172.97105442785997
before,2152,IN,IN,511,85.708724772152
see,2133,VB,VB,475,129.73353114225432
well,2131,RB,RB,492,109.41707129753242
men,2096,NNS,NN,379,226.96524474324195
again,2088,RB,RB,470,135.54329065202344
world,2067,NN,NN,321,269.15125809663647
other,1928,JJ,JJ,485,117.88700495658094
through,1925,IN,IN,470,135.54329065202344
day,1918,NN,NN,472,133.22855009213563
last,1869,JJ,JJ,463,143.547845601354
even,1828,RB,RB,476,128.56244176304622
long,1790,JJ,JJ,473,132.06659172806638
way,1786,NN,NN,470,135.54329065202344
should,1781,MD,MD,454,153.61473148068688
here,1754,RB,RB,448,160.18329806890148
captain,1748,NNP,NN,223,304.1735669664504
your,1709,PRP$,PR,358,243.83063148929247
can,1702,MD,MD,419,190.26810655708488
such,1692,JJ,JJ,458,149.17203746906466
things,1673,NNS,NN,298,281.8300450516308
without,1665,IN,IN,476,128.56244176304622
know,1639,VBP,VB,419,190.26810655708488
come,1618,VB,VB,433,176.0940472739009
under,1613,IN,IN,445,163.4242033657578
may,1602,MD,MD,417,192.23839829733714
how,1596,WRB,WR,434,175.05637129634445
much,1587,JJ,JJ,438,170.8725017786373
seemed,1585,VBD,VB,409,199.98050653718101
people,1581,NNS,NN,255,298.49113990329164
most,1580,RBS,RB,439,169.81828094460474
those,1578,DT,DT,440,168.76077378645235
nothing,1570,NN,NN,479,125.03101377002409
back,1564,RB,RB,424,185.28226417569522
might,1561,MD,MD,446,162.34713393290082
himself,1532,PRP,PR,427,182.24986283256925
every,1495,DT,DT,403,205.63917195353127
new,1483,JJ,JJ,367,236.81433729651835
go,1471,VB,VB,411,198.06597297053605
never,1439,RB,RB,424,185.28226417569522
think,1437,VBP,VB,386,220.96565731133643
went,1433,VBD,VB,383,223.55953003952985
old,1430,JJ,JJ,302,279.80366057988385
where,1428,WRB,WR,446,162.34713393290082
saw,1408,VBD,VB,391,216.56791258301917
being,1402,VBG,VB,446,162.34713393290082
found,1400,VBD,VB,440,168.76077378645235
feet,1378,NNS,NN,407,201.88093056064238
good,1378,JJ,JJ,410,199.0249991397991
three,1370,CD,CD,459,148.0534717172028
water,1361,NN,NN,335,260.2580298457352
too,1357,RB,RB,412,197.10343659089742
say,1337,VB,VB,400,208.42029476038527
life,1337,NN,NN,320,269.75322617226414
hand,1328,NN,NN,417,192.23839829733714
replied,1324,VBD,VB,310,275.5225816344496
just,1312,RB,RB,419,190.26810655708488
sea,1311,NN,NN,306,277.70083969880903
towards,1308,IN,IN,360,242.29937892456473
moment,1294,NN,NN,423,186.28627011407718
air,1293,NN,NN,357,244.59021856483199
thing,1292,NN,NN,350,249.7935351951756
earth,1281,NN,NN,281,289.565050413788
place,1279,NN,NN,420,189.27779178401738
make,1277,VB,VB,406,202.8258298531477
thought,1274,VBD,VB,395,212.98324302643286
shall,1270,MD,MD,374,231.13666257873112
away,1257,RB,RB,412,197.10343659089742
between,1240,IN,IN,410,199.0249991397991
eyes,1227,NNS,NN,394,213.88491224440872
far,1221,RB,RB,398,210.25635784055146
island,1204,NN,NN,200,304.2101473801926
light,1193,NN,NN,350,249.7935351951756
off,1174,RP,RP,422,187.2868654227081
asked,1146,VBN,VB,379,226.96524474324195
once,1146,RB,RB,417,192.23839829733714
night,1142,NN,NN,358,243.83063148929247
quite,1141,RB,RB,381,225.26996062848139
work,1118,NN,NN,320,269.75322617226414
left,1108,VBD,VB,416,193.2183587503918
going,1106,VBG,VB,372,232.77829899116819
hundred,1099,CD,CD,367,236.81433729651835
right,1074,NN,NN,376,229.47959619926698
mr,1071,NNP,NN,189,302.9035909639223
few,1061,JJ,JJ,392,215.67725636370795
get,1060,VB,VB,346,252.67642986748126
cried,1055,VBD,VB,315,272.6951561108488
am,1054,VBP,VB,352,248.32730842951347
pencroft,1050,NNP,NN,61,197.2843449358809
take,1048,VB,VB,407,201.88093056064238
half,1037,NN,NN,382,224.41663368045675
days,1034,NNS,NN,350,249.7935351951756
another,1033,DT,DT,397,211.16895662449383
part,1027,NN,NN,394,213.88491224440872
against,1023,IN,IN,351,249.06247693626563
face,1013,NN,NN,309,276.0741647203358
mind,1004,NN,NN,326,266.0742798169429
house,996,NN,NN,238,302.28122088152315
whole,993,JJ,JJ,361,241.52773582365455
took,990,VBD,VB,409,199.98050653718101
began,988,VBD,VB,378,227.80718192784457
something,985,NN,NN,292,284.7240513963358
ever,975,RB,RB,346,252.67642986748126
soon,971,RB,RB,370,234.40442247896894
same,970,JJ,JJ,370,234.40442247896894
perhaps,963,RB,RB,366,237.60979435134217
own,957,JJ,JJ,347,251.9619307118071
miles,956,NNS,NN,306,277.70083969880903
yes,952,NN,NN,350,249.7935351951756
got,936,VBD,VB,265,295.4904699646585
many,929,JJ,JJ,330,263.5329551018578
head,927,NN,NN,371,233.5933050703622
yet,923,RB,RB,375,230.3100529846667
above,916,IN,IN,348,251.2432739277819
let,915,VB,VB,348,251.2432739277819
looked,914,VBD,VB,343,254.7948610524863
seen,910,VBN,VB,373,231.95941469482784
side,899,NN,NN,307,277.1633089607911
became,897,VBD,VB,322,268.5447956366648
however,895,NN,NN,372,232.77829899116819
moon,895,NN,NN,166,297.11800422457463
while,894,IN,IN,384,222.69865956654016
why,886,WRB,WR,322,268.5447956366648
though,883,IN,IN,344,254.09290715891495
end,880,NN,NN,336,259.59007330936765
find,879,VB,VB,346,252.67642986748126
suddenly,877,RB,RB,325,266.69858109695804
indeed,877,RB,RB,303,279.2850817904293
sort,875,NN,NN,250,299.7806605034002
dont,874,VBP,VB,244,301.1373797435236
state,865,NN,NN,228,303.69985605249576
heard,854,VBD,VB,338,258.2412917530042
certain,854,JJ,JJ,347,251.9619307118071
point,854,NN,NN,336,259.59007330936765
course,847,NN,NN,342,255.49260883210815
harding,844,NNP,NN,61,197.2843449358809
myself,842,PRP,PR,266,295.1601146524165
put,841,VBD,VB,352,248.32730842951347
each,841,DT,DT,338,258.2412917530042
uncle,823,NN,NN,63,200.82050120007358
among,822,IN,IN,293,284.2539711702579
passed,822,VBD,VB,384,222.69865956654016
already,821,RB,RB,357,244.59021856483199
along,821,IN,IN,315,272.6951561108488
black,817,JJ,JJ,252,299.2820048002943
round,812,NN,NN,320,269.75322617226414
enough,795,RB,RB,338,258.2412917530042
five,791,CD,CD,332,262.2360084491493
years,789,NNS,NN,263,296.1348275318303
