term_str,term_rank,n,n_chars,p,i,max_pos,n_pos,stop,max_pos_group,term_rank2,zipf_k,zipf_k2,df,idf,tfidf_mean,tfidf_max,dfidf,dfidf2
told,415,431,4,0.0002426460239268,12.008859159703132,VBD,9,0,VB,369,178865,159039,211.0,0.43462943710028085,0.000286503193480134,0.0017010936872809425,91.70681122815925,0.15976796381212413
friends,391,455,7,0.0002561576354679,11.93068048370617,NN,9,0,NN,356,177905,161980,212.0,0.43257603146922213,0.0003460039060849789,0.0016554765842679761,91.7061186714751,0.1597667572673782
present,417,428,7,0.0002409570724841,12.018936232391082,JJ,7,0,JJ,371,178476,158788,210.0,0.43669259766405427,0.0002675099978660204,0.0012943833943358408,91.7054455094514,0.15976558451123937
master,347,521,6,0.0002933145672061,11.73526365651372,NN,9,0,NN,322,180787,167762,213.0,0.4305322889592358,0.00045096516386737914,0.0031262718077952807,91.70337754831722,0.15976198179149342
held,490,355,4,0.0001998592540464,12.288728004400186,VBD,7,0,VB,420,173950,149100,213.0,0.4305322889592358,0.00023054483726186155,0.0016159388861740754,91.70337754831722,0.15976198179149342
different,372,483,9,0.000271921182266,11.844523839956455,JJ,6,0,JJ,342,179676,165186,209.0,0.4387656062869195,0.0002654529299338039,0.001426548650259376,91.70201171396619,0.15975960228913968
best,418,428,4,0.0002409570724841,12.018936232391082,JJS,11,0,JJ,371,178904,158788,214.0,0.4284981190487827,0.0002484800081679935,0.0008964395795999638,91.6985974764395,0.1597536541401385
covered,543,321,7,0.0001807178043631,12.433973731669926,VBN,7,0,VB,449,174303,144129,214.0,0.4284981190487827,0.00024764744285960157,0.0009738593614745061,91.6985974764395,0.1597536541401385
exclaimed,406,442,9,0.0002488388458831,11.9725006594008,VBD,8,0,VB,364,179452,160888,214.0,0.4284981190487827,0.00034855532772691317,0.0016781910667706893,91.6985974764395,0.1597536541401385
foot,530,330,4,0.000185784658691,12.394081004546416,NN,6,0,NN,442,174900,145860,214.0,0.4284981190487827,0.0002413906607665059,0.001276051575487739,91.6985974764395,0.1597536541401385
tried,473,368,5,0.0002071780436312,12.236841262735217,VBD,8,0,VB,410,174064,150880,208.0,0.44084855743521195,0.00025788613443048956,0.001382837382168168,91.69649994652409,0.1597499999068364
mean,414,433,4,0.0002437719915552,12.002180004065504,VBP,6,0,VB,368,179262,159344,208.0,0.44084855743521195,0.0002762705957685776,0.0013066050902051333,91.69649994652409,0.1597499999068364
deep,531,329,4,0.0001852216748768,12.398459445056988,JJ,9,0,JJ,443,174699,145747,208.0,0.44084855743521195,0.0002469858679235106,0.0010546616206584018,91.69649994652409,0.1597499999068364
silence,491,355,7,0.0001998592540464,12.288728004400186,NN,8,0,NN,420,174305,149100,208.0,0.44084855743521195,0.00029245598243034617,0.0013310644850096978,91.69649994652409,0.1597499999068364
space,339,534,5,0.0003006333567909,11.699707287104676,NN,8,0,NN,315,181026,168210,215.0,0.42647343248236824,0.0003780654715270876,0.0025220191158034787,91.69178798370918,0.1597417909123853
attention,506,346,9,0.0001947923997185,12.325774991155503,NN,9,0,NN,429,175076,148434,215.0,0.42647343248236824,0.0002179709633677009,0.000749513941093793,91.69178798370918,0.1597417909123853
heart,474,367,5,0.000206615059817,12.240766965949016,NN,5,0,NN,411,173958,150837,215.0,0.42647343248236824,0.00025815672742340385,0.0015231194017227437,91.69178798370918,0.1597417909123853
struck,457,384,6,0.0002161857846586,12.175440718071073,VBD,7,0,VB,399,175488,153216,215.0,0.42647343248236824,0.00026923277655826404,0.0011322303517231015,91.69178798370918,0.1597417909123853
sky,341,531,3,0.0002989444053483,11.707835167988076,NN,5,0,NN,317,181071,168327,207.0,0.44294154694105575,0.0003724234290972271,0.0036456094398440806,91.68890021679854,0.15973675995957934
enormous,475,367,8,0.000206615059817,12.240766965949016,JJ,6,0,JJ,411,174325,150837,207.0,0.44294154694105575,0.0002651265232549652,0.001071632774857393,91.68890021679854,0.15973675995957934
impossible,433,408,10,0.0002296973961998,12.087977876820734,JJ,9,0,JJ,380,176664,155040,216.0,0.4244581412470426,0.0002908242864832536,0.0013871181086504661,91.6829585093612,0.1597264085528941
length,493,354,6,0.0001992962702322,12.292797668709232,NN,8,0,NN,421,174522,149034,216.0,0.4244581412470426,0.0002894964370849336,0.002453515267323946,91.6829585093612,0.1597264085528941
arms,496,352,4,0.0001981703026038,12.300971600154933,NNS,11,0,NN,423,174592,148896,216.0,0.4244581412470426,0.0002542408279520999,0.0016086664800916612,91.6829585093612,0.1597264085528941
mouth,444,394,5,0.0002218156228008,12.138351399335852,NN,6,0,NN,391,174936,154054,206.0,0.44504467202882014,0.0003183231135016795,0.0014878217201130636,91.67920243793695,0.1597198648744546
whom,479,364,4,0.0002049261083743,12.252608578593534,WP,4,1,WP,413,174356,150332,206.0,0.44504467202882014,0.0003036020161571501,0.0011529654715772544,91.67920243793695,0.1597198648744546
speak,477,365,5,0.0002054890921885,12.24865056502485,VB,7,0,VB,412,174105,150380,206.0,0.44504467202882014,0.0002605487846194574,0.001081080174968794,91.67920243793695,0.1597198648744546
position,424,421,8,0.0002370161857846,12.042726795725834,NN,5,0,NN,376,178504,158296,217.0,0.422452158549444,0.0002456911436647958,0.00105244683246,91.67211840522936,0.1597075233540581
sound,396,452,5,0.0002544686840253,11.940224256377045,NN,7,0,NN,358,178992,161816,217.0,0.422452158549444,0.0003136558585670988,0.002972224380038302,91.67211840522936,0.1597075233540581
later,587,302,5,0.000170021111893,12.52199847946715,RB,14,0,RB,467,177274,141034,205.0,0.4471580313422192,0.00022676675249792833,0.0009134995533038187,91.66739642515493,0.15969929690793544
number,357,509,6,0.0002865587614356,11.768881372716535,NN,5,0,NN,329,181713,167461,218.0,0.4204553987933687,0.0002991250488451329,0.0032912359983825338,91.65927693695437,0.15968515145810866
happened,548,318,8,0.0001790288529204,12.447520263507874,VBD,8,0,VB,452,174264,143736,204.0,0.4492817249720748,0.0002487880234906491,0.001090489623718628,91.65347189430327,0.1596750381433855
sir,256,722,3,0.0004064743138634,11.26454819190506,NN,11,0,NN,245,184832,176890,204.0,0.4492817249720748,0.0006195986547725669,0.003864033600228946,91.65347189430327,0.1596750381433855
companions,320,565,10,0.0003180858550316,11.61829616148968,NNS,5,0,NN,300,180800,169500,204.0,0.4492817249720748,0.0004461876858377814,0.0017462365767931835,91.65347189430327,0.1596750381433855
land,279,643,4,0.0003619985925404,11.431728291464282,NN,10,0,NN,265,179397,170395,204.0,0.4492817249720748,0.0004954316122806754,0.0035456280437480537,91.65347189430327,0.1596750381433855
besides,552,317,7,0.0001784658691062,12.452064188652823,IN,11,0,IN,453,174984,143601,204.0,0.4492817249720748,0.0002874443000412929,0.0011972864089862087,91.65347189430327,0.1596750381433855
given,441,399,5,0.0002246305418719,12.120158282569884,VBN,7,0,VB,388,175959,154812,219.0,0.4184677775578552,0.0002397400029162681,0.001145702334176195,91.64444328517028,0.15965930885918167
opened,466,378,6,0.0002128078817733,12.198160794571155,VBD,12,0,VB,404,176148,152712,219.0,0.4184677775578552,0.0002827678666691343,0.0027530774839332577,91.64444328517028,0.15965930885918167
forward,468,376,7,0.0002116819141449,12.205814367114591,RB,12,0,RB,406,175968,152656,203.0,0.45141585448476057,0.00028509971974101676,0.002133093228516293,91.6374184604064,0.15964707048851287
north,425,421,5,0.0002370161857846,12.042726795725834,NN,8,0,NN,376,178925,158296,203.0,0.45141585448476057,0.00033339119387600867,0.002010761044475548,91.6374184604064,0.15964707048851287
reason,509,345,6,0.0001942294159042,12.3299506671267,NN,4,0,NN,430,175605,148350,203.0,0.45141585448476057,0.00025631033247455417,0.0009721805911373164,91.6374184604064,0.15964707048851287
added,537,327,5,0.0001840957072484,12.407256393294148,VBD,8,0,VB,445,175599,145515,203.0,0.45141585448476057,0.00026888585387520124,0.0013556031666209026,91.6374184604064,0.15964707048851287
cannot,420,425,6,0.0002392681210415,12.029084187767166,VBP,10,0,VB,373,178500,158525,220.0,0.41648921157576724,0.00028257923138943266,0.0029749229398269086,91.6276265466688,0.15963001140534633
following,590,300,9,0.0001688951442646,12.53158452829635,VBG,6,0,VB,469,177000,140700,202.0,0.45356052295134974,0.0002581052963293448,0.001498135501077951,91.61922563617264,0.15961537567277465
red,354,511,3,0.000287684729064,11.763223737854608,JJ,7,0,JJ,327,180894,167097,202.0,0.45356052295134974,0.0003890717214026082,0.004230098141515179,91.61922563617264,0.15961537567277465
thirty,519,336,6,0.0001891625615763,12.36808579601347,NN,10,0,NN,436,174384,146496,202.0,0.45356052295134974,0.00028374707834769605,0.0017180322839066278,91.61922563617264,0.15961537567277465
answered,327,553,8,0.000311330049261,11.649267548557525,VBD,9,0,VB,306,180831,169218,221.0,0.41451961871286286,0.00038002211294148417,0.002851604631545648,91.6088357355427,0.15959727480059702
believe,442,398,7,0.0002240675580577,12.12377859824858,VB,8,0,VB,389,175916,154822,221.0,0.41451961871286286,0.0002459043960957046,0.0010235052313897848,91.6088357355427,0.15959727480059702
country,302,597,7,0.0003361013370865,11.538816097527423,NN,7,0,NN,283,180294,168951,221.0,0.41451961871286286,0.0003923320426686699,0.0024661553914498533,91.6088357355427,0.15959727480059702
wind,291,618,4,0.000347923997185,11.488940190887856,NN,7,0,NN,273,179838,168714,221.0,0.41451961871286286,0.00041616431865842404,0.0023960671601899585,91.6088357355427,0.15959727480059702
evidently,571,309,9,0.0001739619985925,12.488940190887856,RB,6,0,RB,460,176439,142140,201.0,0.4557158349774847,0.0002564081567737653,0.0010902292702810639,91.59888283047442,0.15957993524472897
south,404,444,5,0.0002499648135116,11.965987352442124,NN,8,0,NN,362,179376,160728,201.0,0.4557158349774847,0.000328311519736464,0.001523496314174625,91.59888283047442,0.15957993524472897
natural,436,405,7,0.0002280084447572,12.098625121020245,JJ,6,0,JJ,383,176580,155115,201.0,0.4557158349774847,0.00024983056664929155,0.0013501357939289494,91.59888283047442,0.15957993524472897
room,259,708,4,0.0003985925404644,11.292797668709232,NN,5,0,NN,247,183372,174876,222.0,0.41255891794733485,0.0004654571232946489,0.0032459395589876858,91.58807978430833,0.15956111460680894
stopped,394,455,7,0.0002561576354679,11.93068048370617,VBD,8,0,VB,356,179270,161980,222.0,0.41255891794733485,0.00030935509427358734,0.0013740513503658113,91.58807978430833,0.15956111460680894
whether,445,393,7,0.0002212526389866,12.142017716533624,IN,9,0,IN,392,174885,154056,200.0,0.4578818967339923,0.00028509283717023995,0.0014898543277678709,91.57637934679846,0.15954073056933532
island,160,1204,6,0.0006778325123152,10.526783542032527,NN,5,0,NN,158,192640,190232,200.0,0.4578818967339923,0.0009575697847575997,0.006297000544475337,91.57637934679846,0.15954073056933532
captain,105,1748,7,0.0009840957072484,9.988913749291632,NNP,9,0,NN,105,183540,183540,223.0,0.4106070293498128,0.00123328694388191,0.00551679310066927,91.56536754500826,0.15952154624565898
eye,400,448,3,0.0002522167487684,11.953048296734623,NN,6,0,NN,359,179200,160832,223.0,0.4106070293498128,0.00024210359692354558,0.0016897408615218635,91.56536754500826,0.15952154624565898
eight,501,349,5,0.0001964813511611,12.313319992582578,CD,9,0,CD,426,174849,148674,223.0,0.4106070293498128,0.00028194742900900996,0.001691481068382339,91.56536754500826,0.15952154624565898
trees,285,635,5,0.0003574947220267,11.449790437132702,NNS,10,0,NN,268,180975,170180,199.0,0.46005881598826687,0.0005082588387451068,0.003048990680334611,91.5517043816651,0.15949774282520052
nature,384,466,6,0.0002623504574243,11.89621707413795,NN,9,0,NN,351,178944,163566,224.0,0.4086638740638107,0.00024179892228874813,0.0008878733191194782,91.5407077902936,0.1594785850005115
true,502,348,4,0.0001959183673469,12.317459722943502,JJ,11,0,JJ,427,174696,148596,198.0,0.46224670213644237,0.00027962063479923006,0.0009557133745067726,91.52484702301558,0.1594509530017693
fear,532,329,4,0.0001852216748768,12.398459445056988,NN,7,0,NN,443,175028,145747,198.0,0.46224670213644237,0.0002645850617221344,0.001460495109435837,91.52484702301558,0.1594509530017693
body,340,533,4,0.0003000703729767,11.702411496033054,NN,8,0,NN,316,181220,168428,225.0,0.40672937428661105,0.0003344857482507051,0.002920380624773317,91.51410921448749,0.15943224601827088
dark,380,471,4,0.0002651653764954,11.880819969179448,JJ,11,0,JJ,348,178980,163908,225.0,0.40672937428661105,0.00028175397960078253,0.001369459172682192,91.51410921448749,0.15943224601827088
ran,461,380,3,0.0002139338494018,12.190547610461282,VBD,7,0,VB,402,175180,152760,197.0,0.4644456662363806,0.0003161849829140136,0.0022116460296970506,91.49579624856698,0.15940034189645816
coming,363,498,6,0.0002803659394792,11.80040128672415,VBG,9,0,VB,334,180774,166332,226.0,0.40480345325057265,0.00025463144472503724,0.0012850903277795958,91.48558043462943,0.15938254431120108
turn,449,390,4,0.0002195636875439,12.15307290504262,NN,5,0,NN,394,175110,153660,226.0,0.40480345325057265,0.00022482085346942323,0.0008936058570652818,91.48558043462943,0.15938254431120108
close,423,423,5,0.000238142153413,12.03588936567228,RB,8,0,RB,375,178929,158625,226.0,0.40480345325057265,0.00026382350502771274,0.002530021582816079,91.48558043462943,0.15938254431120108
hear,534,328,4,0.0001846586910626,12.402851214174143,VB,9,0,VB,444,175152,145632,196.0,0.46665582104149744,0.00025995917975004106,0.0017510537374915477,91.4645409241335,0.15934589011173084
suppose,377,477,7,0.0002685432793807,11.862557762786718,VBP,10,0,VB,345,179829,164565,196.0,0.46665582104149744,0.0002815767464196942,0.0009996911333365413,91.4645409241335,0.15934589011173084
does,343,529,4,0.0002978184377199,11.713279306678205,VBZ,6,1,VB,319,181447,168751,227.0,0.40288603520485083,0.0002682774668801441,0.0017945925844314067,91.45512999150114,0.1593294947587128
reach,460,381,5,0.000214496833216,12.186756031298907,VB,4,0,VB,401,175260,152781,227.0,0.40288603520485083,0.000248088216013375,0.0010271154498530295,91.45512999150114,0.1593294947587128
use,398,452,3,0.0002544686840253,11.940224256377045,NN,8,0,NN,358,179896,161816,227.0,0.40288603520485083,0.00024666541265568504,0.0014848379675854453,91.45512999150114,0.1593294947587128
human,258,711,5,0.0004002814919071,11.286697469172816,JJ,7,0,JJ,246,183438,174906,227.0,0.40288603520485083,0.00031689615394336115,0.00263180861320534,91.45512999150114,0.1593294947587128
form,527,331,4,0.0001863476425052,12.389715811985011,NN,7,0,NN,441,174437,145971,195.0,0.46887728103545556,0.0002480236776997172,0.0009396338297303718,91.43106980191384,0.1592875780521147
mass,497,352,4,0.0001981703026038,12.300971600154933,NN,5,0,NN,423,174944,148896,195.0,0.46887728103545556,0.0003124820600304162,0.0013800655806783092,91.43106980191384,0.1592875780521147
