term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop
0,3,1,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
000436,1,6,5.629838142153413e-07,20.76040321879223,NNP,1,{'NNP'},0
016,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
05,1,2,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
092,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
0h,1,2,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1,92,1,5.17945109078114e-05,14.236841262735217,CD,5,"{'CD', 'VB', 'NN', 'JJ', 'NNP'}",0
10,36,2,2.0267417311752287e-05,15.590478217349917,CD,1,{'CD'},0
100,18,3,1.0133708655876144e-05,16.59047821734992,CD,1,{'CD'},0
1000,16,4,9.00774102744546e-06,16.76040321879223,CD,1,{'CD'},0
10000,6,5,3.3779028852920477e-06,18.175440718071073,CD,1,{'CD'},0
10000000,2,8,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
100000000,1,9,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1000000000,1,10,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
101,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
105,2,3,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
105d,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
107,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
10700,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
108,4,3,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
10h,2,3,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
10hrs,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
10s,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
10th,30,4,1.6889514426460238e-05,15.853512623183711,CD,2,"{'CD', 'JJ'}",0
11,10,2,5.629838142153413e-06,17.43847512390487,CD,1,{'CD'},0
110,2,3,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1100,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
11000,2,5,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
110000,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
11000000,1,8,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
110000000,2,9,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
110th,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
112,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
113,2,3,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
11340,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1140,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
11400,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
114000,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
115,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1152,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
117,2,3,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1170,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
118,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
118th,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1192820,1,7,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
11972,2,5,1.1259676284306826e-06,19.76040321879223,CD,2,"{'CD', 'NN'}",0
11th,27,4,1.5200562983814215e-05,16.00551571662876,CD,1,{'CD'},0
12,37,2,2.083040112596763e-05,15.55094985316328,CD,1,{'CD'},0
120,10,3,5.629838142153413e-06,17.43847512390487,CD,1,{'CD'},0
1200,9,4,5.066854327938072e-06,17.59047821734992,CD,1,{'CD'},0
12000,20,5,1.1259676284306827e-05,16.43847512390487,CD,1,{'CD'},0
12000000,1,8,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1200000000,1,10,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
120800,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1219,3,4,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
122,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
123,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1253930,1,7,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
125th,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
126000000,1,9,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
12th,20,4,1.1259676284306827e-05,16.43847512390487,CD,1,{'CD'},0
13,14,2,7.881773399014778e-06,16.953048296734625,CD,1,{'CD'},0
130,3,3,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
1300,3,4,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
13000,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
13000000,1,8,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
13000ft,1,7,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
133,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
133d,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
134,4,3,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1343251,1,7,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
13432513,1,8,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
135,3,3,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
136,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
136000000,1,9,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1372640,1,7,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
138000,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1387,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
139212000,1,9,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1399,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
13hrs,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
13m,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
13th,23,4,1.294862772695285e-05,16.23684126273522,CD,2,"{'CD', 'JJ'}",0
14,10,2,5.629838142153413e-06,17.43847512390487,CD,1,{'CD'},0
1400,7,4,3.940886699507389e-06,17.953048296734625,CD,1,{'CD'},0
14000,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
140000,2,6,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
140000000,2,9,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
142,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
143846,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
14400,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
144000,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1446675,1,7,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
145,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1450,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1453,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1480,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1499,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
14th,21,4,1.1822660098522168e-05,16.36808579601347,CD,1,{'CD'},0
15,26,2,1.4637579169598874e-05,16.059963500651136,CD,2,"{'CD', 'NN'}",0
150,15,3,8.444757213230119e-06,16.85351262318371,CD,1,{'CD'},0
1500,11,4,6.192821956368755e-06,17.30097160015493,CD,1,{'CD'},0
15000,7,5,3.940886699507389e-06,17.953048296734625,CD,1,{'CD'},0
150000,2,6,1.1259676284306826e-06,19.76040321879223,CD,2,"{'CD', 'NN'}",0
1500000000,2,10,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
150000think,1,11,5.629838142153413e-07,20.76040321879223,NN,1,{'NN'},0
1507,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
150deg,2,6,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1512,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
15140,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
153,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1539,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
153deg,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1540,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
155000000,1,9,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1550010x,1,8,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
155deg,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
156,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
157,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1573,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1577,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
158½,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
15th,44,4,2.477128782547502e-05,15.300971600154933,CD,2,"{'CD', 'JJ'}",0
16,13,2,7.318789584799437e-06,17.059963500651136,CD,1,{'CD'},0
160,5,3,2.8149190710767066e-06,18.43847512390487,CD,1,{'CD'},0
1600,7,4,3.940886699507389e-06,17.953048296734625,CD,1,{'CD'},0
16000,3,5,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
1600000,4,7,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1606,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1611,1,4,5.629838142153413e-07,20.76040321879223,NNP,1,{'NNP'},0
1613,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1614,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
16220,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1625,1,4,5.629838142153413e-07,20.76040321879223,NNP,1,{'NNP'},0
1636,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1637,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
164,2,3,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1640,1,4,5.629838142153413e-07,20.76040321879223,VBD,1,{'VBD'},0
164000000,1,9,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1645,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1647,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1649,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
16500000,1,8,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
165deg,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1665,1,4,5.629838142153413e-07,20.76040321879223,NNP,1,{'NNP'},0
1666,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1669,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
167,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1671,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
16740,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
167th,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
168,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1688,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
169,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1692,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1693,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
16th,28,4,1.5763546798029555e-05,15.953048296734625,CD,1,{'CD'},0
17,11,2,6.192821956368755e-06,17.30097160015493,CD,1,{'CD'},0
170,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
17000,2,5,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1702,5,4,2.8149190710767066e-06,18.43847512390487,CD,1,{'CD'},0
171,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1712,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1715,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1718,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
172,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
172000000,1,9,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1722,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1727,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
173050,1,6,5.629838142153413e-07,20.76040321879223,VBP,1,{'VBP'},0
1741,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1743,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1745,1,4,5.629838142153413e-07,20.76040321879223,NNP,1,{'NNP'},0
1749,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
175,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1753851000,1,10,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1756,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1757,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1758,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1759,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
176,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1760,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
17605,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1762,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1765,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1768,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1770,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1772,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1773,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1778,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1779,3,4,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
1780,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1781,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1783,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1785,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1787,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1788,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1789,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1790,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1791,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1792,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1794,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1795,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
17958,1,5,5.629838142153413e-07,20.76040321879223,NN,1,{'NN'},0
1797,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
17m,1,3,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
17th,20,4,1.1259676284306827e-05,16.43847512390487,CD,3,"{'CD', 'JJ', 'NNS'}",0
18,12,2,6.7558057705840954e-06,17.175440718071073,CD,1,{'CD'},0
180,5,3,2.8149190710767066e-06,18.43847512390487,CD,1,{'CD'},0
1800,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
18000,3,5,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
1801,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1803,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1804,8,4,4.50387051372273e-06,17.76040321879223,CD,1,{'CD'},0
180480,1,6,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1805,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1807,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
181,1,3,5.629838142153413e-07,20.76040321879223,NNS,1,{'NNS'},0
1810,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1814,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1816,3,4,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
1817,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1819,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1820,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1822,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1823,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1824,5,4,2.8149190710767066e-06,18.43847512390487,CD,1,{'CD'},0
1825,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1826,10,4,5.629838142153413e-06,17.43847512390487,CD,1,{'CD'},0
1827,5,4,2.8149190710767066e-06,18.43847512390487,CD,1,{'CD'},0
1828,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1829,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1830,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1831,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1832,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1833,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1834,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1835,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1836,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1837,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1838,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1839,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1840,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1841,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1842,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
1843,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1844,3,4,1.6889514426460239e-06,19.175440718071073,CD,1,{'CD'},0
1845,6,4,3.3779028852920477e-06,18.175440718071073,CD,1,{'CD'},0
1846,4,4,2.251935256861365e-06,18.76040321879223,CD,1,{'CD'},0
1847,1,4,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1848,8,4,4.50387051372273e-06,17.76040321879223,CD,3,"{'VBD', 'CD', 'NNP'}",0
18480,1,5,5.629838142153413e-07,20.76040321879223,CD,1,{'CD'},0
1849,2,4,1.1259676284306826e-06,19.76040321879223,CD,1,{'CD'},0
